event.deviceEventClassId,set.event.categoryObject,set.event.categoryBehavior,set.event.categoryTechnique,set.event.categoryDeviceGroup,set.event.categorySignificance,set.event.categoryOutcome,set.event.originator
1010001,/Network,/Modify/Attribute,,/Firewall,/Informational,/Success,Source
1010002,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
1020001,/Network,/Modify/Attribute,,/Firewall,/Informational,/Success,Source
1020002,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
1020003,/Network,/Execute/Query,,/Firewall,/Informational/Warning,/Failure,Source
1020005,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
1040001,/Network,/Modify/Attribute,,/Firewall,/Informational,/Success,Source
2000001,/Network,/Execute/Query,,/VPN,/Informational/Error,/Failure,Source
2000002,/Network,/Execute/Query,,/VPN,/Informational/Error,/Failure,Source
2010001,/Network,/Authorization/Verify,,/VPN,/Informational,/Success,Source
2010002,/Network,/Modify/Configuration,,/VPN,/Informational,/Success,Source
2010003,/Network,/Modify/Configuration,,/VPN,/Informational,/Success,Source
2010004,/Network,/Execute/Query,,/VPN,/Informational/Warning,/Failure,Source
2020001,/Network,/Check/Operational,,/VPN,/Informational/Warning,/Failure,Source
2030002,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
2030003,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
2030004,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2030005,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2030006,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2030007,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2030008,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2030009,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2030010,/Network,/Authorization/Verify,,/VPN,/Informational,/Success,Source
2030011,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2030012,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
2030013,/Network,/Authorization/Verify,,/VPN,/Informational,/Failure,Source
2030014,/Network,/Execute/Query,,/VPN,/Informational,/Success,Source
2030015,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
2030016,/Network,/Access/Start,,/VPN,/Informational/Warning,/Failure,Source
2030017,/Network,/Check/Operational,,/VPN,/Informational/Error,/Failure,Source
2030017,/Network,/Check/Operational,,/VPN,/Informational/Error,/Failure,Source
2030018,/Network,/Authorization/Verify,,/VPN,/Informational/Error,/Failure,Source
2030019,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2030020,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2030021,/Network,/Execute/Query,,/VPN,/Informational/Warning,/Failure,Source
2030022,/Network,/Execute/Query,,/VPN,/Informational/Warning,/Failure,Source
2030023,/Network,/Execute/Query,,/VPN,/Informational/Warning,/Failure,Source
2030024,/Network,/Authorization/Delete,,/VPN,/Informational/Warning,/Failure,Source
2030025,/Network,/Authorization/Verify,,/VPN,/Informational,/Success,Source
2030026,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2030027,/Network,/Execute/Query,,/VPN,/Informational/Error,/Failure,Source
2030028,/Network,/Authorization/Verify,,/VPN,/Informational,/Success,Source
2030029,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2050002,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2050003,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2050003,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2050004,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2050005,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2050006,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2050007,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2050008,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2050008,/Network,/Access/Start,,/VPN,/Informational/Error,/Failure,Source
2050010,/Network,/Execute/Query,,/VPN,/Informational,/Success,Source
2050011,/Network,/Access/Stop,,/VPN,/Informational,/Failure,Source
2060001,/Network,/Authorization/Verify,,/VPN,/Informational/Warning,/Failure,Source
2060002,/Network,/Authorization/Verify,,/VPN,/Informational/Warning,/Failure,Source
2060003,/Network,/Authorization/Verify,,/VPN,/Informational/Warning,/Failure,Source
2060004,/Network,/Authorization/Verify,,/VPN,/Informational/Warning,/Failure,Source
2060005,/Network,/Authorization/Verify,,/VPN,/Informational/Warning,/Failure,Source
2060006,/Network,/Access/Start,,/VPN,/Informational,/Success,Source
2060007,/Network,/Access/Start,,/VPN,/Informational,/Success,Source
2070001,/Network,/Execute/Query,,/VPN,/Informational,/Success,Source
2080001,/Network,/Authorization/Verify,,/VPN,/Informational,/Success,Source
2090001,/Network,/Execute/Query,,/VPN,/Informational/Warning,/Failure,Source
2090001,/Network,/Execute/Query,,/VPN,/Informational/Warning,/Failure,Source
2090002,/Network,/Modify/Attribute,,/VPN,/Informational,/Success,Source
9000001,/Network,/Execute/Query,,/Network Equipment,/Informational/Error,/Failure,Source
9000002,/Network,/Communicate/Query,,/Network Equipment,/Informational/Error,/Failure,Source
9000004,/Network,/Authentication/Verify,,/Network Equipment,/Informational/Error,/Failure,Source
9000005,/Network,/Execute/Query,,/Network Equipment,/Informational/Error,/Failure,Source
9000006,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
9000007,/Network,/Execute/Query,,/Network Equipment,/Informational/Warning,/Failure,Source
9000008,/Network,/Communicate/Query,,/Network Equipment,/Informational,/Success,Source
9000009,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
11000003,/Network,/Communicate/Response,,/Firewall,/Informational,/Failure,Source
11000004,/Network,/Authentication/Verify,,/Firewall,/Informational,/Success,Source
11000005,/Network,/Authentication/Verify,,/Firewall,/Informational/Warning,/Failure,Source
11000006,/Network,/Access/Start,,/Firewall,/Informational,/Success,Source
11000007,/Network,/Access/Stop,,/Firewall,/Informational/Warning,/Failure,Source
11000008,/Network,/Authorization/Verify,,/Firewall,/Informational/Warning,/Failure,Source
11000010,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
11000011,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
11000012,/Network,/Execute/Query,,/Firewall,/Informational,/Failure,Source
11000013,/Network,/Execute/Query,,/Firewall,/Informational,/Failure,Source
11000014,/Network,/Execute/Query,,/Firewall,/Informational,/Failure,Source
15000000,/Network,/Modify/Configuration,,/Firewall,/Informational,/Success,Source
15000001,/Network,/Modify/Configuration,,/Firewall,/Informational,/Success,Source
15010000,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
15010001,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
16000001,/Network,/Execute/Query,,/Network Equipment,/Informational/Error,/Failure,Source
16000002,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
16000003,/Network,/Execute/Query,,/Network Equipment,/Informational,/Success,Source
23000001,/Network,/Execute/Query,,/Firewall,/Informational/Error,/Failure,Source
23000002,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
25000000,/Network,/Authentication/Verify,,/VPN,/Informational,/Success,Source
25000001,/Network,/Access/Stop,,/VPN,/Informational,/Success,Source
30000004,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
30000005,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
30000006,/Network,/Modify/Attribute,,/Firewall,/Informational,/Success,Source
30000007,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
30000027,/Network,/Execute/Query,,/Firewall,/Informational,/Attempt,Source
30000028,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
30000029,/Network,/Execute/Query,,/Firewall,/Informational,/Success,Source
30000040,/Network,/Execute/Query,/Traffic Anomaly/Network Layer,/Firewall,/Informational,/Success,Source
30000065,/Network,/Check,,/Firewall,/Informational,/Success,Source
30000148,/Network,/Communicate,,/Firewall,/Informational,/Success,Source
30000149,/Network,/Communicate,,/Firewall,/Informational,/Success,Source
